;REGIAO;RENDA;ACESSO À INTERNET PRÓPRIO DOMICILIO;VIA 3G OU 4G;DISCADA OU LINHA TELEFONICA;BANDA LARGA;MICROCOMPUTADOR;MICROCOMPUTADOR PARA INTERNET
134954;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
134955;Centro-Oeste;;;;;;;
134956;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
134957;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
134958;Centro-Oeste;de 2 a 3 SM;2.0;Não;Não;Sim;Não;
134959;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
134960;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Não;
134961;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
134962;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
134963;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
134964;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
134965;Centro-Oeste;de 2 a 3 SM;4.0;;;;Sim;Não
134966;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
134967;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
134968;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
134969;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
134970;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
134971;Centro-Oeste;até 0,25 SM;2.0;Sim;Sim;Não;Sim;Sim
134972;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Sim;Não;Sim;Sim
134973;Centro-Oeste;de 3 a 5 SM;2.0;Sim;Não;Não;Sim;Não
134974;Centro-Oeste;de 0,25 a 0,5 SM;2.0;Sim;Não;Não;Não;
134975;Centro-Oeste;de 0,25 a 0,5 SM;2.0;Sim;Não;Não;Não;
134976;Centro-Oeste;;;;;;;
134977;Centro-Oeste;até 0,25 SM;4.0;;;;Não;
134978;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
134979;Centro-Oeste;de 0,25 a 0,5 SM;2.0;Sim;Sim;Não;Não;
134980;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Sim;Não;Sim;Sim
134981;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Não;
134982;Centro-Oeste;de 0,25 a 0,5 SM;2.0;Sim;Não;Não;Não;
134983;Centro-Oeste;de 0,25 a 0,5 SM;2.0;Sim;Sim;Não;Sim;Sim
134984;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
134985;Centro-Oeste;;;;;;;
134986;Centro-Oeste;;;;;;;
134987;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
134988;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
134989;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
134990;Centro-Oeste;;;;;;;
134991;Centro-Oeste;;;;;;;
134992;Centro-Oeste;;;;;;;
134993;Centro-Oeste;;;;;;;
134994;Centro-Oeste;de 0,25 a 0,5 SM;2.0;Sim;Não;Não;Não;
134995;Centro-Oeste;;;;;;;
134996;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Sim;Não
134997;Centro-Oeste;;;;;;;
134998;Centro-Oeste;de 1 a 2 SM;4.0;;;;Sim;Não
134999;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135000;Centro-Oeste;;;;;;;
135001;Centro-Oeste;;;;;;;
135002;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Sim;Não
135003;Centro-Oeste;de 2 a 3 SM;2.0;Não;Não;Sim;Não;
135004;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Não;
135005;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Não;
135006;Centro-Oeste;;;;;;;
135007;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Sim;Não
135008;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Não;
135009;Centro-Oeste;até 0,25 SM;2.0;Sim;Não;Não;Não;
135010;Centro-Oeste;de 2 a 3 SM;2.0;Sim;Não;Sim;Sim;Sim
135011;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Sim;Sim
135012;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135013;Centro-Oeste;de 3 a 5 SM;2.0;Não;Não;Sim;Não;
135014;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135015;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135016;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Sim;Sim
135017;Centro-Oeste;;;;;;;
135018;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Não;Não;
135019;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135020;Centro-Oeste;mais que 5 SM;2.0;Não;Não;Sim;Sim;Sim
135021;Centro-Oeste;;;;;;;
135022;Centro-Oeste;;;;;;;
135023;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Não;
135024;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Sim;Sim;Sim
135025;Centro-Oeste;de 2 a 3 SM;2.0;Sim;Não;Sim;Sim;Sim
135026;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Não
135027;Centro-Oeste;;;;;;;
135028;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135029;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Sim;Não;
135030;Centro-Oeste;;;;;;;
135031;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135032;Centro-Oeste;Sem Rendimento;2.0;Não;Não;Sim;Sim;Sim
135033;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135034;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135035;Centro-Oeste;de 2 a 3 SM;2.0;Não;Não;Sim;Sim;Sim
135036;Centro-Oeste;;;;;;;
135037;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Não;
135038;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Sim;Não
135039;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135040;Centro-Oeste;;;;;;;
135041;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135042;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Não;
135043;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135044;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Sim;Sim
135045;Centro-Oeste;de 0,25 a 0,5 SM;2.0;Sim;Não;Não;Não;
135046;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135047;Centro-Oeste;;;;;;;
135048;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135049;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135050;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135051;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135052;Centro-Oeste;de 3 a 5 SM;2.0;Não;Não;Sim;Sim;Sim
135053;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Não;
135054;Centro-Oeste;;;;;;;
135055;Centro-Oeste;;;;;;;
135056;Centro-Oeste;;;;;;;
135057;Centro-Oeste;mais que 5 SM;2.0;Sim;Não;Não;Não;
135058;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Sim;Sim
135059;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135060;Centro-Oeste;mais que 5 SM;4.0;;;;Não;
135061;Centro-Oeste;;;;;;;
135062;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135063;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135064;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135065;Centro-Oeste;mais que 5 SM;4.0;;;;Não;
135066;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135067;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135068;Centro-Oeste;;;;;;;
135069;Centro-Oeste;;;;;;;
135070;Centro-Oeste;;;;;;;
135071;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Sim;Não
135072;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135073;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Sim;Não
135074;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135075;Centro-Oeste;de 3 a 5 SM;2.0;Não;Não;Sim;Sim;Sim
135076;Centro-Oeste;de 2 a 3 SM;2.0;Não;Não;Sim;Não;
135077;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Não;Não;
135078;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Não;
135079;Centro-Oeste;de 0,5 a 1 SM;;;;;;
135080;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Não;
135081;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135082;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135083;Centro-Oeste;de 1 a 2 SM;4.0;;;;Sim;Não
135084;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135085;Centro-Oeste;;;;;;;
135086;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Sim;Não
135087;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135088;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135089;Centro-Oeste;;;;;;;
135090;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135091;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135092;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135093;Centro-Oeste;;;;;;;
135094;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Sim;Sim
135095;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135096;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135097;Centro-Oeste;;;;;;;
135098;Centro-Oeste;;;;;;;
135099;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135100;Centro-Oeste;de 2 a 3 SM;4.0;;;;Não;
135101;Centro-Oeste;;;;;;;
135102;Centro-Oeste;;;;;;;
135103;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Não;
135104;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135105;Centro-Oeste;de 0,25 a 0,5 SM;2.0;Sim;Não;Não;Não;
135106;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135107;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135108;Centro-Oeste;de 2 a 3 SM;4.0;;;;Não;
135109;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135110;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135111;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Não;Sim;Não
135112;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135113;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135114;Centro-Oeste;;;;;;;
135115;Centro-Oeste;mais que 5 SM;2.0;Não;Não;Sim;Sim;Sim
135116;Centro-Oeste;de 2 a 3 SM;2.0;Sim;Sim;Não;Sim;Sim
135117;Centro-Oeste;;;;;;;
135118;Centro-Oeste;mais que 5 SM;2.0;Não;Não;Sim;Sim;Sim
135119;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135120;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135121;Centro-Oeste;de 2 a 3 SM;2.0;Sim;Sim;Não;Sim;Sim
135122;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Sim;Sim
135123;Centro-Oeste;mais que 5 SM;2.0;Não;Não;Sim;Sim;Sim
135124;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135125;Centro-Oeste;de 2 a 3 SM;2.0;Não;Não;Sim;Sim;Sim
135126;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135127;Centro-Oeste;;;;;;;
135128;Centro-Oeste;;;;;;;
135129;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135130;Centro-Oeste;até 0,25 SM;4.0;;;;Não;
135131;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135132;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Não;
135133;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Sim;Sim
135134;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135135;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135136;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Não;
135137;Centro-Oeste;de 3 a 5 SM;4.0;;;;Não;
135138;Centro-Oeste;;;;;;;
135139;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135140;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135141;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135142;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135143;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135144;Centro-Oeste;;;;;;;
135145;Centro-Oeste;;;;;;;
135146;Centro-Oeste;de 0,25 a 0,5 SM;4.0;;;;Não;
135147;Centro-Oeste;de 3 a 5 SM;2.0;Não;Não;Sim;Sim;Sim
135148;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135149;Centro-Oeste;de 3 a 5 SM;2.0;Não;Não;Sim;Sim;Sim
135150;Centro-Oeste;de 3 a 5 SM;2.0;Não;Não;Sim;Não;
135151;Centro-Oeste;mais que 5 SM;2.0;Não;Não;Sim;Sim;Sim
135152;Centro-Oeste;;;;;;;
135153;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Não;
135154;Centro-Oeste;de 2 a 3 SM;2.0;Não;Não;Sim;Sim;Sim
135155;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Sim;Sim
135156;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135157;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Não;Não;
135158;Centro-Oeste;mais que 5 SM;2.0;Não;Não;Sim;Sim;Sim
135159;Centro-Oeste;de 1 a 2 SM;4.0;;;;Sim;Não
135160;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135161;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135162;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Sim;Sim
135163;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135164;Centro-Oeste;de 2 a 3 SM;4.0;;;;Sim;Não
135165;Centro-Oeste;de 0,25 a 0,5 SM;2.0;Não;Não;Sim;Não;
135166;Centro-Oeste;;;;;;;
135167;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135168;Centro-Oeste;;;;;;;
135169;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135170;Centro-Oeste;de 0,25 a 0,5 SM;2.0;Não;Não;Sim;Não;
135171;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Sim;Sim;Sim
135172;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Sim;Não;Não;
135173;Centro-Oeste;de 0,25 a 0,5 SM;2.0;Não;Não;Sim;Sim;Sim
135174;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Sim;Sim;Sim;Sim
135175;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Sim;Sim;Sim;Sim
135176;Centro-Oeste;mais que 5 SM;2.0;Não;Não;Sim;Sim;Sim
135177;Centro-Oeste;;;;;;;
135178;Centro-Oeste;;;;;;;
135179;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Sim;Sim
135180;Centro-Oeste;de 1 a 2 SM;2.0;Não;Sim;Sim;Sim;Sim
135181;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Não;
135182;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135183;Centro-Oeste;;;;;;;
135184;Centro-Oeste;de 0,5 a 1 SM;2.0;Sim;Não;Não;Não;
135185;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Sim;Sim
135186;Centro-Oeste;de 1 a 2 SM;2.0;Não;Não;Sim;Não;
135187;Centro-Oeste;;;;;;;
135188;Centro-Oeste;de 1 a 2 SM;4.0;;;;Não;
135189;Centro-Oeste;;;;;;;
135190;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Não;
135191;Centro-Oeste;de 1 a 2 SM;2.0;Sim;Não;Não;Não;
135192;Centro-Oeste;Sem Rendimento;4.0;;;;Sim;Não
135193;Centro-Oeste;de 0,5 a 1 SM;4.0;;;;Não;
135194;Centro-Oeste;;;;;;;
135195;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Sim;Sim
135196;Centro-Oeste;de 0,5 a 1 SM;2.0;Não;Não;Sim;Não;
135197;Centro-Oeste;de 0,25 a 0,5 SM;2.0;Sim;Não;Não;Não;
